GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Common Exception Model,org.bremersee.exception.model,RestApiException,3,73,2,4,1,22,3,4,1,3
Common Exception Model,org.bremersee.exception.model,StackTraceItem,0,15,0,0,0,6,0,1,0,1
Common Exception Model,org.bremersee.exception.model,Handler,0,12,0,0,0,5,0,1,0,1
Common Exception Model,org.bremersee.exception,RestApiExceptionConstants,3,0,0,0,1,0,1,0,1,0
