GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Comparator Spring Integration,org.bremersee.comparator.spring.web,ReactiveSortOrderHandlerMethodArgumentResolver,0,45,2,6,0,11,2,5,0,3
Comparator Spring Integration,org.bremersee.comparator.spring.web,SortOrderHandlerMethodArgumentResolverSupport,2,115,2,10,0,27,2,15,0,11
Comparator Spring Integration,org.bremersee.comparator.spring.web,SortOrderHandlerMethodArgumentResolver,0,51,2,6,0,12,2,6,0,4
Comparator Spring Integration,org.bremersee.comparator.spring.mapper,SortMapper,8,261,4,36,0,70,4,32,1,14
Comparator Spring Integration,org.bremersee.comparator.spring.mapper,SortMapper.DefaultSortMapper,0,56,0,6,0,18,0,8,0,5
Comparator Spring Integration,org.bremersee.comparator.spring.converter,SortOrderItemConverter,0,19,0,0,0,7,0,3,0,3
Comparator Spring Integration,org.bremersee.comparator.spring.converter,SortOrderConverter,0,19,0,0,0,7,0,3,0,3
