GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Integration Core,org.bremersee.spring.core,OrderedProxy,0,47,3,7,0,11,3,4,0,2
Spring Integration Core,org.bremersee.spring.core.regex,RegexFlags,0,132,0,22,0,39,0,18,0,7
Spring Integration Core,org.bremersee.spring.core.convert.support,LocaleToStringConverter,20,6,6,0,4,3,5,2,2,2
Spring Integration Core,org.bremersee.spring.core.convert.support,TimeZoneToStringConverter,20,6,6,0,4,3,5,2,2,2
Spring Integration Core,org.bremersee.spring.core.convert.support,StringToTimeZoneConverter,20,6,6,0,4,3,5,2,2,2
