GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Acl for Spring Data MongoDB,org.bremersee.acl.spring.data.mongodb,AclCriteriaAndUpdateBuilder,90,496,10,28,13,80,11,23,2,13
Acl for Spring Data MongoDB,org.bremersee.acl.spring.data.mongodb,AclModificationUpdate,0,16,0,0,0,4,0,2,0,2
Acl for Spring Data MongoDB,org.bremersee.acl.spring.data.mongodb,AclIndexOperations,30,332,6,12,3,60,7,20,1,17
Acl for Spring Data MongoDB,org.bremersee.acl.spring.data.mongodb.convert,DocumentToAceConverter,16,33,6,0,3,8,4,3,1,3
Acl for Spring Data MongoDB,org.bremersee.acl.spring.data.mongodb.convert,AclToDocumentConverter,18,56,6,2,4,12,5,5,2,4
Acl for Spring Data MongoDB,org.bremersee.acl.spring.data.mongodb.convert,AceToDocumentConverter,16,38,6,0,3,8,4,3,1,3
Acl for Spring Data MongoDB,org.bremersee.acl.spring.data.mongodb.convert,AclConverters,0,17,0,0,0,2,0,2,0,2
Acl for Spring Data MongoDB,org.bremersee.acl.spring.data.mongodb.convert,DocumentToAclConverter,23,78,8,6,4,21,6,5,1,3
